iter	RMSE
0	2856.187094
1	2781.953502
2	2705.849384
3	2632.927323
4	2564.547291
5	2500.724242
6	2438.610911
7	2376.422169
8	2314.403535
9	2255.713438
10	2199.657797
11	2145.546068
12	2094.916972
13	2043.695989
14	1993.129819
15	1941.761437
16	1896.31605
17	1852.861844
18	1810.065982
19	1768.632336
20	1730.032677
21	1693.586355
22	1653.81545
23	1617.04706
24	1581.088771
25	1544.847825
26	1512.635356
27	1484.457186
28	1454.605147
29	1425.459693
30	1394.982169
31	1367.737737
32	1341.895691
33	1315.75664
34	1287.203661
35	1262.907827
36	1239.701775
37	1217.764819
38	1192.011196
39	1168.994119
40	1147.848664
41	1127.234663
42	1109.17045
43	1087.959669
44	1068.429851
45	1048.709757
46	1032.695796
47	1013.6759
48	997.1742613
49	980.3960464
50	962.5697628
51	946.4284518
52	932.9620403
53	918.3039978
54	904.2251191
55	890.2573743
56	875.2451946
57	863.4253731
58	851.5996074
59	840.0621529
60	828.769279
61	817.6440158
62	807.7392894
63	797.8173846
64	787.5384657
65	776.967531
66	767.7358224
67	757.0729104
68	749.1558726
69	740.5642217
70	732.4415467
71	725.5412274
72	716.8543275
73	710.2168284
74	702.1438058
75	696.4033486
76	688.2836224
77	681.1339594
78	675.3005247
79	670.3708024
80	662.6913918
81	656.3743185
82	649.6029627
83	642.4273443
84	635.8578449
85	629.9594858
86	624.8902841
87	619.4147765
88	615.7414673
89	610.502018
90	606.417867
91	601.505804
92	598.4450284
93	593.7564834
94	589.2700889
95	584.9390776
96	580.703123
97	575.2917271
98	571.6420507
99	568.3768551
100	563.2699334
101	560.0225493
102	556.598479
103	553.0672073
104	547.5679743
105	545.2722544
106	541.6921539
107	538.7448188
108	535.6473433
109	531.7371528
110	529.0628958
111	526.0928389
112	522.1821509
113	518.9223854
114	516.7047206
115	514.1640019
116	512.022163
117	510.0720939
118	507.9032102
119	505.6303436
120	503.5120427
121	501.1914924
122	499.3045728
123	496.5567777
124	493.1825772
125	490.4483671
126	488.1970129
127	485.4060834
128	482.8026652
129	480.4472807
130	478.2393633
131	475.4969407
132	473.5454098
133	471.3758288
134	469.6962342
135	468.2485284
136	465.434492
137	463.2670603
138	460.749911
139	459.3133106
140	457.1295293
141	455.1749318
142	453.0550501
143	451.3513757
144	449.9102452
145	447.828233
146	445.9285083
147	443.4463543
148	441.5917098
149	440.1399821
150	438.2312179
151	436.4422672
152	435.3915948
153	433.9306048
154	432.1573781
155	430.7486049
156	429.3560716
157	427.4992158
158	425.4484559
159	424.4244861
160	422.9384239
161	421.093491
162	419.5352014
163	418.4733911
164	417.5499773
165	416.7595707
166	415.1305177
167	414.2775405
168	413.1715925
169	411.9476069
170	410.9277512
171	409.693581
172	408.6129726
173	407.47204
174	406.1267846
175	404.7786404
176	403.5787296
177	402.4464883
178	400.7505581
179	399.9928237
180	399.2276959
181	398.0098095
182	397.2730705
183	396.1645182
184	395.4954399
185	393.5627344
186	392.4166645
187	391.4305518
188	390.3866243
189	389.0591182
190	388.3477189
191	387.0050635
192	386.1468923
193	384.7362606
194	383.7852135
195	383.1643531
196	382.5215142
197	381.1593503
198	380.2145665
199	379.6264961
200	378.8149065
201	377.976454
202	376.6748072
203	375.7001064
204	374.2866175
205	372.6820612
206	372.0710273
207	371.1275691
208	370.8757126
209	369.0890624
210	367.1960551
211	365.3300264
212	364.6257392
213	364.0598103
214	363.4543927
215	362.8606468
216	361.8549827
217	360.6626723
218	360.0922398
219	359.5417178
220	358.1424256
221	357.6766605
222	357.1577722
223	356.6384266
224	356.0349269
225	353.9881263
226	353.4942311
227	351.7826016
228	351.4466937
229	350.7018247
230	350.0667738
231	349.0958095
232	348.506273
233	347.9114703
234	347.0063999
235	346.3476318
236	345.9768341
237	345.3757035
238	344.5179272
239	343.3304331
240	342.8122606
241	342.5459877
242	341.349436
243	340.877106
244	340.2128705
245	338.6816639
246	338.2096253
247	336.4041614
248	336.0600557
249	335.6412984
250	333.912364
251	333.6867151
252	333.4705216
253	333.119849
254	331.6356438
255	331.3331186
256	330.1655547
257	328.6479378
258	328.3531816
259	326.4131951
260	326.1215981
261	325.7473145
262	325.4520509
263	325.077551
264	324.3054292
265	324.0014755
266	323.338011
267	323.0184431
268	321.3368417
269	320.6450083
270	320.4662805
271	319.0835423
272	317.7195273
273	316.0817045
274	315.386212
275	314.7735948
276	314.5331058
277	314.3979638
278	313.0886605
279	312.6476859
280	312.3629991
281	311.0191032
282	310.4465752
283	309.2723425
284	307.9160805
285	306.4936004
286	305.9019423
287	305.4824324
288	304.2817798
289	303.9088501
290	303.302469
291	302.9197227
292	301.7758606
293	301.4243655
294	300.8501712
295	299.8041793
296	298.3379515
297	296.9757217
298	296.8329758
299	295.6006941
300	295.0417953
301	294.5179142
302	293.6778699
303	293.1260908
304	292.0756073
305	291.0686344
306	290.2771661
307	290.1409442
308	290.0072107
309	289.6535715
310	288.4420429
311	288.0473506
312	287.6878442
313	286.5223398
314	285.5616805
315	285.1873826
316	285.0634487
317	283.9039811
318	283.4145224
319	282.2118787
320	281.0974799
321	280.8298549
322	280.3759288
323	280.2588065
324	279.3418568
325	278.626402
326	277.1523875
327	276.0609675
328	275.2019567
329	274.71537
330	274.6009571
331	273.5876014
332	272.7558148
333	272.2221545
334	272.1106985
335	271.4263787
336	270.4039133
337	269.7002633
338	268.6761333
339	267.8447537
340	267.0052792
341	266.1210868
342	266.0104095
343	265.3980984
344	264.5986237
345	263.922725
346	263.8153165
347	263.7098733
348	263.1041563
349	262.4234207
350	261.57131
351	261.09601
352	260.2906094
353	260.1851738
354	260.0836359
355	259.2237837
356	258.4265523
357	258.3253085
358	257.2415837
359	257.011872
360	256.3281815
361	256.2301015
362	255.8583015
363	255.2725526
364	254.5026798
365	254.2756152
366	254.186041
367	253.9762397
368	253.1047255
369	252.6516059
370	252.5672068
371	251.8966308
372	251.0144971
373	250.251827
374	249.7121242
375	249.2996723
376	248.7433852
377	248.5509742
378	247.6586546
379	246.8322981
380	245.912034
381	245.143292
382	244.9525978
383	244.4148844
384	244.2438848
385	244.1671843
386	243.5717445
387	243.4970074
388	243.0907297
389	242.697557
390	242.1464098
391	241.7195355
392	241.2374023
393	240.3807192
394	239.6087124
395	239.0889455
396	238.5335618
397	237.9193772
398	237.0091589
399	236.5077263
400	235.7185588
401	235.3131851
402	234.5063535
403	234.0791301
404	233.8436143
405	233.0513006
406	232.0959137
407	231.517336
408	231.0582834
409	230.642656
410	230.1909206
411	229.8445584
412	229.0808841
413	228.6083906
414	228.5267723
415	228.3112095
416	228.2251588
417	228.1406452
418	227.6564424
419	227.574389
420	226.9457168
421	226.2876539
422	226.1148694
423	225.7805836
424	225.3440904
425	224.3136926
426	223.7693343
427	223.6925066
428	223.0978142
429	223.0221376
430	222.8980105
431	222.0101827
432	221.8943214
433	221.2193418
434	220.6748866
435	220.2788496
436	219.7119553
437	219.1835639
438	219.0822228
439	218.9868782
440	218.4095356
441	217.8134741
442	217.3110022
443	216.3950822
444	215.5287269
445	215.4346416
446	214.8578584
447	214.8050718
448	213.7970843
449	212.9882681
450	212.6165619
451	212.565037
452	212.1864075
453	211.5604911
454	211.1909498
455	211.0457894
456	210.9559512
457	209.9703559
458	209.8767243
459	209.0580482
460	208.7038814
461	208.6552817
462	207.9268965
463	207.4798486
464	206.8601358
465	206.5956853
466	206.4970748
467	206.091039
468	205.2899222
469	204.5634713
470	204.4655681
471	203.7502124
472	202.812376
473	202.102096
474	201.2625082
475	200.7919947
476	200.0315072
477	199.5889658
478	199.297461
479	198.7565847
480	198.0405453
481	197.9104554
482	197.7137961
483	197.6342918
484	196.9417872
485	196.1566709
486	195.820931
487	195.3852659
488	194.7222951
489	193.9768695
490	193.3782012
491	192.6501346
492	191.8999481
493	191.2062375
494	191.1459511
495	190.8909958
496	190.4495128
497	189.9724932
498	189.5186837
499	188.863761
500	188.7708572
501	188.1557846
502	187.4966384
503	187.3773504
504	186.7930427
505	186.360368
506	185.921969
507	185.8466379
508	185.5128212
509	184.97064
510	184.8500977
511	184.4775248
512	183.8306963
513	183.2530045
514	182.9290128
515	182.8136591
516	182.4551487
517	182.137635
518	181.9701736
519	181.4547877
520	181.2045829
521	180.8523077
522	180.2737719
523	179.9027792
524	179.8536841
525	179.3796865
526	179.0152546
527	178.9221324
528	178.5195996
529	177.9903408
530	177.4474839
531	176.9724925
532	176.3790752
533	175.9583462
534	175.6333571
535	175.5958878
536	175.1793378
537	174.5464221
538	174.2345391
539	173.7076729
540	173.4291713
541	173.0520821
542	172.4881481
543	172.4132399
544	171.7142642
545	171.6774179
546	170.9157274
547	170.82862
548	170.6969786
549	170.6063155
550	170.4171063
551	170.3822277
552	170.3561827
553	169.7856077
554	169.7422133
555	169.7167295
556	169.1912229
557	168.9689738
558	168.7492579
559	168.5310934
560	168.1885113
561	167.5247865
562	167.2657526
563	166.7365493
564	166.4076373
565	166.0369103
566	165.5073145
567	164.8178787
568	164.5043861
569	163.9881515
570	163.3664654
571	162.8706699
572	162.4876794
573	161.9203343
574	161.8810015
575	161.4775539
576	161.0274258
577	160.3900097
578	160.3646596
579	160.0322027
580	160.0074795
581	159.5437783
582	159.5193703
583	159.2844321
584	159.0853592
585	158.5946541
586	158.3974432
587	158.0132959
588	157.567548
589	157.0937851
590	156.9031625
591	156.2880443
592	156.2522853
593	156.0393554
594	155.5706878
595	155.2976169
596	155.0956556
597	154.8509479
598	154.4318082
599	154.0819264
600	153.6585786
601	153.4805081
602	153.1162627
603	152.5084503
604	152.3504461
605	151.7139188
606	151.363424
607	151.0873248
608	151.0490074
609	150.5604896
610	149.9268454
611	149.5584983
612	149.48377
613	149.1105906
614	148.9478833
615	148.8302768
616	148.6606384
617	148.2282607
618	147.6607742
619	147.2596801
620	147.1771557
621	147.0135612
622	146.9501024
623	146.8090292
624	146.3417916
625	146.1793721
626	146.0463317
627	146.0260512
628	145.617313
629	145.4737271
630	145.3616277
631	144.9071516
632	144.4715347
633	143.9091865
634	143.7598407
635	143.2453691
636	142.8984145
637	142.7797402
638	142.7508824
639	142.3417722
640	141.9565234
641	141.6743152
642	141.3057393
643	140.9516393
644	140.5908182
645	140.1750686
646	140.0185632
647	139.9029002
648	139.8720495
649	139.6574449
650	139.2487682
651	138.7946869
652	138.664501
653	138.3180057
654	137.9066001
655	137.5189382
656	137.3761473
657	137.2562532
658	137.2297212
659	137.102313
660	136.9978792
661	136.6550394
662	136.5041579
663	136.0533853
664	135.6394141
665	135.2099604
666	135.1918895
667	134.9317057
668	134.6190979
669	134.5190844
670	134.4216552
671	134.1608879
672	133.8177419
673	133.5626901
674	133.1749496
675	132.7798836
676	132.6844603
677	132.2422622
678	131.8600978
679	131.488358
680	131.0833117
681	130.9926183
682	130.8914875
683	130.7689687
684	130.4759873
685	130.00097
686	129.6142125
687	129.2682509
688	129.014384
689	128.8044602
690	128.3953128
691	128.2777383
692	127.9363321
693	127.6075386
694	127.4101442
695	127.307598
696	127.0495229
697	126.9272134
698	126.8420547
