iter	Passed	Remaining
0	29	29437
1	31	15789
2	33	11201
3	35	8930
4	37	7561
5	40	6655
6	42	6002
7	44	5520
8	46	5147
9	48	4814
10	50	4555
11	52	4324
12	54	4137
13	56	3982
14	58	3843
15	60	3741
16	62	3638
17	64	3540
18	67	3460
19	69	3382
20	71	3310
21	72	3242
22	75	3186
23	77	3134
24	79	3090
25	81	3046
26	83	3002
27	85	2960
28	87	2924
29	89	2887
30	91	2853
31	93	2826
32	95	2798
33	97	2771
34	99	2745
35	101	2716
36	103	2687
37	105	2662
38	107	2648
39	109	2627
40	111	2604
41	113	2583
42	115	2562
43	117	2543
44	118	2524
45	120	2506
46	122	2489
47	124	2470
48	126	2452
49	128	2434
50	129	2417
51	131	2399
52	133	2383
53	135	2367
54	136	2351
55	138	2336
56	140	2324
57	142	2311
58	144	2297
59	145	2284
60	147	2271
61	149	2258
62	151	2246
63	152	2235
64	154	2224
65	156	2213
66	158	2201
67	159	2190
68	161	2180
69	163	2170
70	165	2159
71	166	2151
72	168	2141
73	170	2133
74	172	2124
75	174	2116
76	175	2107
77	177	2098
78	179	2091
79	181	2084
80	183	2076
81	184	2068
82	186	2061
83	188	2053
84	190	2046
85	191	2039
86	193	2032
87	195	2026
88	197	2020
89	199	2013
90	200	2007
91	202	2000
92	204	1995
93	206	1989
94	208	1982
95	209	1976
96	211	1971
97	214	1971
98	216	1967
99	217	1961
100	219	1956
101	221	1950
102	223	1945
103	225	1940
104	226	1934
105	228	1929
106	230	1925
107	232	1923
108	234	1919
109	236	1914
110	238	1909
111	240	1903
112	241	1899
113	243	1894
114	245	1890
115	247	1885
116	249	1880
117	250	1875
118	252	1870
119	254	1866
120	256	1861
121	258	1857
122	259	1853
123	261	1849
124	263	1845
125	265	1840
126	267	1836
127	268	1832
128	270	1827
129	272	1823
130	274	1819
131	276	1815
132	277	1811
133	279	1807
134	281	1803
135	283	1799
136	285	1795
137	286	1791
138	288	1787
139	290	1784
140	292	1780
141	294	1776
142	295	1773
143	297	1769
144	299	1765
145	301	1761
146	303	1758
147	304	1754
148	306	1752
149	308	1749
150	310	1745
151	312	1741
152	313	1738
153	315	1734
154	317	1731
155	319	1727
156	321	1724
157	322	1720
158	324	1717
159	326	1713
160	328	1710
161	329	1706
162	331	1703
163	333	1699
164	335	1697
165	337	1694
166	339	1691
167	340	1688
168	342	1685
169	344	1682
170	346	1679
171	348	1675
172	349	1672
173	351	1669
174	353	1666
175	355	1663
176	357	1660
177	358	1656
178	360	1653
179	362	1650
180	364	1647
181	366	1645
182	367	1642
183	369	1639
184	371	1637
185	373	1634
186	375	1631
187	376	1628
188	378	1625
189	380	1622
190	382	1619
191	384	1616
192	385	1613
193	387	1611
194	389	1608
195	391	1605
196	393	1602
197	394	1599
198	396	1596
199	398	1594
200	400	1591
201	402	1588
202	403	1585
203	405	1583
204	407	1580
205	409	1577
206	411	1574
207	412	1572
208	414	1569
209	416	1567
210	418	1564
211	420	1561
212	421	1558
213	423	1556
214	425	1553
215	427	1550
216	429	1548
217	430	1545
218	432	1542
219	434	1540
220	436	1537
221	437	1534
222	439	1532
223	441	1529
224	443	1526
225	445	1524
226	446	1521
227	448	1518
228	450	1516
229	452	1513
